,var_threshold,num_feat,mse
0,1e-05,34,0.06357750974306507
1,0.00011,34,0.06357750974306507
2,0.00021,34,0.06357750974306507
3,0.00031000000000000005,34,0.06357750974306507
4,0.00041000000000000005,33,0.06356678601591312
5,0.00051,33,0.06356678601591312
6,0.0006100000000000001,33,0.06356678601591312
7,0.00071,33,0.06356678601591312
8,0.0008100000000000001,33,0.06356678601591312
9,0.0009100000000000001,33,0.06356678601591312
10,0.00101,33,0.06356678601591312
11,0.00111,33,0.06356678601591312
12,0.0012100000000000001,33,0.06356678601591312
13,0.0013100000000000002,32,0.06356646899013228
14,0.00141,32,0.06356646899013228
15,0.00151,32,0.06356646899013228
16,0.00161,32,0.06356646899013228
17,0.0017100000000000001,32,0.06356646899013228
18,0.0018100000000000002,32,0.06356646899013228
19,0.00191,31,0.06356589223012328
20,0.00201,31,0.06356589223012328
21,0.0021100000000000003,31,0.06356589223012328
22,0.00221,30,0.06356820883870219
23,0.00231,28,0.06356682210992219
24,0.0024100000000000002,27,0.06357228909363935
25,0.00251,27,0.06357228909363935
26,0.0026100000000000003,27,0.06357228909363935
27,0.00271,27,0.06357228909363935
28,0.00281,27,0.06357228909363935
29,0.0029100000000000003,27,0.06357228909363935
30,1e-05,34,0.06357750974306507
31,0.00011,34,0.06357750974306507
32,0.00021,34,0.06357750974306507
33,0.00031000000000000005,34,0.06357750974306507
34,0.00041000000000000005,33,0.06356678601591312
35,0.00051,33,0.06356678601591312
36,0.0006100000000000001,33,0.06356678601591312
37,0.00071,33,0.06356678601591312
38,0.0008100000000000001,33,0.06356678601591312
39,0.0009100000000000001,33,0.06356678601591312
40,0.00101,33,0.06356678601591312
41,0.00111,33,0.06356678601591312
42,0.0012100000000000001,33,0.06356678601591312
43,0.0013100000000000002,32,0.06356646899013228
44,0.00141,32,0.06356646899013228
45,0.00151,32,0.06356646899013228
46,0.00161,32,0.06356646899013228
47,0.0017100000000000001,32,0.06356646899013228
48,0.0018100000000000002,32,0.06356646899013228
49,0.00191,31,0.06356589223012328
50,0.00201,31,0.06356589223012328
51,0.0021100000000000003,31,0.06356589223012328
52,0.00221,30,0.06356820883870219
53,0.00231,28,0.06356682210992219
54,0.0024100000000000002,27,0.06357228909363935
55,0.00251,27,0.06357228909363935
56,0.0026100000000000003,27,0.06357228909363935
57,0.00271,27,0.06357228909363935
58,0.00281,27,0.06357228909363935
59,0.0029100000000000003,27,0.06357228909363935
60,0.00301,27,0.06357228909363935
61,0.0031100000000000004,27,0.06357228909363935
62,0.00321,27,0.06357228909363935
63,0.00331,26,0.06357145546499667
64,0.0034100000000000003,26,0.06357145546499665
65,0.00351,25,0.06357583019033873
66,0.0036100000000000004,25,0.06357583019033873
67,0.00371,25,0.06357583019033873
68,0.00381,25,0.06357583019033873
69,0.00391,25,0.06357583019033873
70,0.00401,25,0.06357583019033873
71,0.00411,24,0.0635774716073916
72,0.00421,24,0.0635774716073916
73,0.00431,24,0.0635774716073916
74,0.00441,24,0.0635774716073916
75,0.00451,24,0.0635774716073916
76,0.0046099999999999995,24,0.0635774716073916
77,0.00471,24,0.0635774716073916
78,0.00481,24,0.0635774716073916
79,0.0049099999999999994,24,0.0635774716073916
80,0.00501,23,0.06361272956733277
81,0.00511,22,0.0636542472568351
82,0.00521,22,0.0636542472568351
83,0.00531,22,0.0636542472568351
84,0.00541,22,0.0636542472568351
85,0.00551,22,0.0636542472568351
86,0.0056099999999999995,22,0.0636542472568351
87,0.00571,21,0.0636405568541878
88,0.00581,21,0.06364055685418779
89,0.0059099999999999995,21,0.06364055685418779
90,0.00601,21,0.0636405568541878
91,0.00611,21,0.0636405568541878
92,0.00621,21,0.0636405568541878
93,0.00631,21,0.06364055685418779
94,0.00641,21,0.06364055685418779
95,0.00651,21,0.06364055685418779
96,0.0066099999999999996,21,0.0636405568541878
97,0.00671,21,0.06364055685418779
98,0.00681,21,0.06364055685418779
99,0.00691,21,0.06364055685418779
100,0.00701,21,0.0636405568541878
101,0.00711,21,0.0636405568541878
102,0.00721,21,0.06364055685418779
103,0.00731,21,0.06364055685418779
104,0.00741,20,0.0636405378318606
105,0.00751,20,0.0636405378318606
106,0.00761,20,0.06364053783186062
107,0.00771,20,0.06364053783186062
108,0.00781,20,0.0636405378318606
109,0.00791,20,0.0636405378318606
110,0.00801,20,0.0636405378318606
111,0.00811,19,0.06364157425512967
112,0.00821,19,0.06364157425512967
113,0.00831,19,0.06364157425512967
114,0.00841,18,0.06363282144995729
115,0.00851,18,0.06363282144995729
116,0.00861,17,0.06375584237424638
117,0.00871,17,0.06375584237424639
118,0.00881,17,0.06375584237424639
119,0.00891,17,0.06375584237424639
120,0.00901,17,0.06375584237424638
121,0.00911,17,0.06375584237424638
122,0.00921,16,0.06377767716361792
123,0.00931,16,0.06377767716361792
124,0.00941,16,0.06377767716361792
125,0.00951,16,0.06377767716361792
126,0.00961,16,0.06377767716361792
127,0.00971,16,0.06377767716361792
128,0.00981,16,0.06377767716361792
129,0.00991,16,0.06377767716361792
130,0.01001,16,0.06377767716361792
131,0.010110000000000001,16,0.06377767716361792
132,0.01021,16,0.06377767716361792
133,0.01031,16,0.06377767716361792
134,0.01041,16,0.06377767716361792
135,0.01051,16,0.06377767716361792
136,0.01061,16,0.06377767716361792
137,0.01071,16,0.06377767716361792
138,0.01081,16,0.06377767716361792
139,0.01091,16,0.06377767716361792
140,0.01101,16,0.06377767716361792
141,0.01111,16,0.06377767716361792
142,0.01121,16,0.06377767716361792
143,0.01131,16,0.06377767716361792
144,0.01141,16,0.06377767716361792
145,0.01151,16,0.06377767716361792
146,0.01161,16,0.06377767716361792
147,0.01171,16,0.06377767716361792
148,0.01181,16,0.06377767716361792
149,0.01191,16,0.06377767716361792
150,0.01201,16,0.06377767716361792
151,0.012110000000000001,16,0.06377767716361792
152,0.01221,16,0.06377767716361792
153,0.01231,16,0.06377767716361792
154,0.012410000000000001,16,0.06377767716361792
155,0.01251,16,0.06377767716361792
156,0.01261,15,0.06375891340148175
157,0.01271,15,0.06375891340148175
158,0.01281,15,0.06375891340148176
159,0.01291,15,0.06375891340148176
160,0.01301,15,0.06375891340148176
161,0.01311,14,0.06370943051332338
162,0.01321,14,0.06370943051332338
163,0.01331,14,0.06370943051332338
164,0.01341,14,0.06370943051332338
165,0.01351,14,0.06370943051332338
166,0.01361,14,0.06370943051332338
167,0.01371,14,0.06370943051332338
168,0.013810000000000001,14,0.06370943051332338
169,0.01391,14,0.06370943051332338
170,0.01401,14,0.06370943051332338
171,0.014110000000000001,14,0.06370943051332338
172,0.01421,14,0.06370943051332338
173,0.01431,14,0.06370943051332338
174,0.014410000000000001,14,0.06370943051332338
175,0.01451,14,0.06370943051332338
176,0.01461,14,0.06370943051332338
177,0.01471,14,0.06370943051332338
178,0.01481,14,0.06370943051332338
179,0.01491,14,0.06370943051332338
180,0.01501,14,0.06370943051332338
181,0.01511,14,0.06370943051332338
182,0.01521,14,0.06370943051332338
183,0.01531,14,0.06370943051332338
184,0.01541,14,0.06370943051332338
185,0.01551,14,0.06370943051332338
186,0.01561,14,0.06370943051332338
187,0.015710000000000002,14,0.06370943051332338
188,0.01581,14,0.06370943051332338
189,0.01591,13,0.06386302753410393
190,0.01601,13,0.06386302753410393
191,0.01611,13,0.06386302753410393
192,0.01621,13,0.06386302753410393
193,0.01631,13,0.06386302753410393
194,0.01641,13,0.06386302753410393
195,0.01651,13,0.06386302753410393
196,0.01661,13,0.06386302753410393
197,0.01671,13,0.06386302753410393
198,0.016810000000000002,13,0.06386302753410393
199,0.01691,13,0.06386302753410393
200,0.01701,13,0.06386302753410393
201,0.01711,13,0.06386302753410393
202,0.01721,13,0.06386302753410393
203,0.01731,13,0.06386302753410393
204,0.017410000000000002,13,0.06386302753410393
205,0.01751,12,0.06385883012296147
206,0.01761,12,0.06385883012296147
207,0.01771,12,0.06385883012296147
208,0.01781,12,0.06385883012296147
209,0.01791,12,0.06385883012296147
210,0.01801,12,0.06385883012296147
211,0.01811,12,0.06385883012296147
212,0.01821,12,0.06385883012296147
213,0.01831,12,0.06385883012296147
214,0.01841,12,0.06385883012296147
215,0.018510000000000002,11,0.06445356617863618
216,0.01861,11,0.06445356617863618
217,0.01871,11,0.06445356617863618
218,0.01881,11,0.06445356617863618
219,0.01891,11,0.06445356617863618
220,0.01901,11,0.06445356617863618
221,0.019110000000000002,11,0.06445356617863618
222,0.01921,11,0.06445356617863618
223,0.01931,11,0.06445356617863618
224,0.01941,11,0.06445356617863618
225,0.01951,11,0.06445356617863618
226,0.01961,11,0.06445356617863618
227,0.019710000000000002,11,0.06445356617863618
228,0.01981,11,0.06445356617863618
229,0.01991,11,0.06445356617863618
230,0.02001,11,0.06445356617863618
231,0.02011,11,0.06445356617863618
232,0.020210000000000002,11,0.06445356617863618
233,0.02031,11,0.06445356617863618
234,0.02041,11,0.06445356617863618
235,0.02051,11,0.06445356617863618
236,0.02061,11,0.06445356617863618
237,0.02071,11,0.06445356617863618
238,0.020810000000000002,11,0.06445356617863618
239,0.02091,11,0.06445356617863618
240,0.02101,10,0.06450399858030958
241,0.02111,9,0.0643452419230592
242,0.02121,9,0.0643452419230592
243,0.02131,9,0.0643452419230592
244,0.021410000000000002,9,0.0643452419230592
245,0.02151,9,0.0643452419230592
246,0.02161,9,0.0643452419230592
247,0.02171,9,0.0643452419230592
248,0.02181,9,0.0643452419230592
249,0.02191,9,0.0643452419230592
250,0.022010000000000002,9,0.0643452419230592
251,0.02211,9,0.0643452419230592
252,0.02221,9,0.0643452419230592
253,0.02231,9,0.0643452419230592
254,0.02241,9,0.0643452419230592
255,0.022510000000000002,9,0.0643452419230592
256,0.02261,9,0.0643452419230592
257,0.02271,9,0.0643452419230592
258,0.02281,9,0.0643452419230592
259,0.02291,9,0.0643452419230592
260,0.02301,9,0.0643452419230592
261,0.023110000000000002,9,0.0643452419230592
262,0.02321,9,0.0643452419230592
263,0.02331,9,0.0643452419230592
264,0.02341,9,0.0643452419230592
265,0.02351,9,0.0643452419230592
266,0.02361,9,0.0643452419230592
267,0.023710000000000002,9,0.0643452419230592
268,0.02381,9,0.0643452419230592
269,0.02391,9,0.0643452419230592
270,0.02401,9,0.0643452419230592
271,0.02411,9,0.0643452419230592
272,0.024210000000000002,9,0.0643452419230592
273,0.024310000000000002,9,0.0643452419230592
274,0.02441,9,0.0643452419230592
275,0.02451,9,0.0643452419230592
276,0.02461,9,0.0643452419230592
277,0.02471,9,0.0643452419230592
278,0.024810000000000002,9,0.0643452419230592
279,0.02491,9,0.0643452419230592
280,0.02501,9,0.0643452419230592
281,0.02511,9,0.0643452419230592
282,0.02521,9,0.0643452419230592
283,0.02531,9,0.0643452419230592
284,0.025410000000000002,9,0.0643452419230592
285,0.02551,9,0.0643452419230592
286,0.02561,9,0.0643452419230592
287,0.02571,9,0.0643452419230592
288,0.02581,9,0.0643452419230592
289,0.025910000000000002,9,0.0643452419230592
290,0.026010000000000002,9,0.0643452419230592
291,0.02611,9,0.0643452419230592
292,0.02621,9,0.0643452419230592
293,0.02631,9,0.0643452419230592
294,0.02641,9,0.0643452419230592
295,0.026510000000000002,9,0.0643452419230592
296,0.02661,9,0.0643452419230592
297,0.02671,9,0.0643452419230592
298,0.02681,9,0.0643452419230592
299,0.02691,9,0.0643452419230592
300,0.02701,9,0.0643452419230592
301,0.027110000000000002,9,0.0643452419230592
302,0.02721,9,0.0643452419230592
303,0.02731,9,0.0643452419230592
304,0.02741,9,0.0643452419230592
305,0.02751,9,0.0643452419230592
306,0.027610000000000003,9,0.0643452419230592
307,0.027710000000000002,9,0.0643452419230592
308,0.02781,9,0.0643452419230592
309,0.02791,9,0.0643452419230592
310,0.02801,9,0.0643452419230592
311,0.02811,9,0.0643452419230592
312,0.028210000000000002,9,0.0643452419230592
313,0.028310000000000002,9,0.0643452419230592
314,0.02841,9,0.0643452419230592
315,0.02851,9,0.0643452419230592
316,0.02861,9,0.0643452419230592
317,0.02871,9,0.0643452419230592
318,0.028810000000000002,9,0.0643452419230592
319,0.02891,9,0.0643452419230592
320,0.02901,9,0.0643452419230592
321,0.02911,9,0.0643452419230592
322,0.02921,9,0.0643452419230592
323,0.029310000000000003,9,0.0643452419230592
324,0.029410000000000002,9,0.0643452419230592
325,0.02951,9,0.0643452419230592
326,0.02961,9,0.0643452419230592
327,0.02971,9,0.0643452419230592
328,0.02981,9,0.0643452419230592
329,0.029910000000000003,9,0.0643452419230592
